,age,reputation,stat_overall,stat_potential,stat_skill_moves,continent_africa,continent_asia,continent_europe,continent_oceania,continent_south america,contract_until_2018,contract_until_2019,contract_until_2020,contract_until_2021,contract_until_2022,contract_until_2023,contract_until_2024,contract_until_2025,contract_until_2026,position_DF,position_GK,position_MF,position_ST,prefer_foot_left,prefer_foot_right,value
60,31,3.0,85,85,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,17.073607134447293
61,30,4.0,85,85,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.426428497635523
62,32,3.0,85,85,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,16.88356353960952
63,32,4.0,85,85,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16.906553056777135
64,35,4.0,85,85,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16.012735246411598
65,36,5.0,85,85,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,16.454567959008102
66,22,2.0,84,88,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,17.341871111992198
67,25,3.0,84,87,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,17.281246492014
68,23,2.0,84,88,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.516812556768127
69,22,2.0,84,90,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17.41282284594998
70,24,3.0,84,88,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.341871111992198
71,24,3.0,84,89,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.385043282614657
72,26,2.0,84,87,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.453096744006448
73,26,3.0,84,87,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17.265498135541893
74,24,3.0,84,89,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.553180200057167
75,27,2.0,84,86,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,17.034386422832473
76,26,3.0,84,86,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17.265498135541893
77,25,2.0,84,89,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,17.19990085520835
78,30,3.0,84,84,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.19990085520835
79,26,3.0,84,87,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,17.11134746100564
80,29,3.0,84,84,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,16.993564429978885
81,28,2.0,84,84,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16.906553056777135
82,28,2.0,84,84,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.249497794707484
83,31,3.0,84,84,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.129696599000436
84,32,3.0,84,84,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.034386422832473
85,29,3.0,84,84,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.233237274364523
86,30,3.0,84,84,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.182806422433504
87,29,3.0,84,84,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.993564429978885
88,34,3.0,84,84,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,16.61887099947687
89,32,3.0,84,84,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.034386422832473
90,31,2.0,84,84,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16.759949589762293
91,34,3.0,84,84,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.5563506464056
92,34,4.0,84,84,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16.5563506464056
93,21,3.0,83,92,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,17.50439003707821
94,21,2.0,83,92,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,17.529082649058825
95,26,1.0,83,83,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.147715103853763
96,23,2.0,83,88,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.341871111992198
97,22,3.0,83,89,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,17.385043282614657
98,22,2.0,83,87,5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.341871111992198
99,22,2.0,83,88,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17.19990085520835
100,24,2.0,83,90,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,17.41282284594998
101,22,3.0,83,87,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.356469910987094
102,23,3.0,83,88,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.341871111992198
103,26,2.0,83,84,5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.233237274364523
104,25,3.0,83,86,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,17.296750678069195
105,24,3.0,83,86,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.312018149733785
106,26,1.0,83,85,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,17.281246492014
107,29,3.0,83,83,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16.811242881518265
108,24,3.0,83,89,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,17.370858648025116
109,26,2.0,83,84,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.216707972959764
110,22,2.0,83,88,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.356469910987094
111,25,3.0,83,85,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.265498135541893
112,28,2.0,83,85,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.01418371633128
113,25,2.0,83,87,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,16.993564429978885
114,27,2.0,83,83,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.0926553286923
115,30,2.0,83,83,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,16.759949589762293
116,27,2.0,83,83,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.0926553286923
117,28,2.0,83,84,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.860033043306743
118,28,2.0,83,84,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.860033043306743
119,28,2.0,83,83,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.860033043306743
120,29,3.0,83,83,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.05418904934434
121,30,3.0,83,83,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16.759949589762293
122,28,3.0,83,83,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,16.860033043306743
123,26,3.0,83,84,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.233237274364523
124,30,3.0,83,83,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16.759949589762293
125,31,4.0,83,83,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16.677711496036597
126,29,2.0,83,84,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,16.811242881518265
127,30,3.0,83,83,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,17.01418371633128
128,31,2.0,83,83,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,16.5563506464056
129,30,3.0,83,83,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16.61887099947687
130,29,3.0,83,84,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.811242881518265
131,29,3.0,83,83,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,16.811242881518265
132,29,3.0,83,83,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16.811242881518265
133,31,3.0,83,83,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.677711496036597
134,33,3.0,83,83,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16.380459992348886
135,30,3.0,83,83,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16.993564429978885
136,33,2.0,83,83,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.380459992348886
137,34,3.0,83,83,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,15.894952224644102
138,35,3.0,83,83,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,15.607270193858982
139,26,1.0,82,85,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.785925074816024
140,18,2.0,82,91,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.11134746100564
141,21,1.0,82,90,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,17.296750678069195
142,19,3.0,82,93,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,17.182806422433504
143,30,1.0,82,82,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16.61887099947687
144,30,1.0,82,82,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.454567959008102
145,21,1.0,82,86,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,17.182806422433504
146,21,2.0,82,89,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,17.265498135541893
147,27,2.0,82,83,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.073607134447293
148,28,2.0,82,83,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.811242881518265
149,24,2.0,82,87,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,17.19990085520835
150,22,2.0,82,88,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.233237274364523
151,23,2.0,82,86,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.01418371633128
152,23,2.0,82,86,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,17.182806422433504
153,24,2.0,82,88,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17.05418904934434
154,23,2.0,82,89,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,17.0926553286923
155,25,1.0,82,88,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.05418904934434
156,25,1.0,82,84,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,17.0926553286923
157,24,3.0,82,87,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.216707972959764
158,26,2.0,82,83,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.073607134447293
159,25,2.0,82,84,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.929025911619092
160,27,2.0,82,82,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.733281344102608
161,25,2.0,82,87,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,17.19990085520835
162,27,2.0,82,83,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.860033043306743
163,25,3.0,82,85,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.1654146803266
164,29,3.0,82,84,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.705882371415992
165,27,2.0,82,82,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16.97251102166758
166,27,2.0,82,83,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.073607134447293
167,26,2.0,82,83,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,17.073607134447293
168,25,2.0,82,85,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.1654146803266
169,27,3.0,82,83,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.860033043306743
170,29,2.0,82,83,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,16.785925074816024
171,26,2.0,82,83,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,16.88356353960952
172,26,4.0,82,85,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.11134746100564
173,29,3.0,82,82,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.88356353960952
174,30,3.0,82,82,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,16.860033043306743
175,27,3.0,82,85,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.733281344102608
176,29,2.0,82,82,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.648723960844016
177,30,2.0,82,82,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16.860033043306743
178,32,2.0,82,82,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,16.341239282272525
179,31,2.0,82,82,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,16.811242881518265
180,29,3.0,82,82,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,16.906553056777135
181,30,3.0,82,82,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,16.860033043306743
182,30,2.0,82,82,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,16.88356353960952
183,33,2.0,82,82,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.012735246411598
184,29,2.0,82,82,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,16.648723960844016
185,27,3.0,82,82,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,16.951004817371683
186,31,3.0,82,82,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16.52356082573315
187,31,3.0,82,82,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,16.52356082573315
188,32,2.0,82,82,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16.341239282272525
189,31,3.0,82,82,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,16.41820031748273
190,32,2.0,82,82,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,16.341239282272525
191,32,3.0,82,82,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,16.341239282272525
192,31,2.0,82,82,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,16.41820031748273
193,32,3.0,82,82,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.341239282272525
194,35,4.0,82,82,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,15.38412668421143
195,37,3.0,82,82,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,15.894952224644102
196,36,4.0,82,82,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,14.914123179965662
197,24,2.0,81,86,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.811242881518265
198,22,1.0,81,86,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.993564429978885
199,30,1.0,81,81,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16.648723960844016
200,24,2.0,81,84,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16.929025911619092
201,25,2.0,81,84,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.733281344102608
202,24,2.0,81,87,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,17.01418371633128
203,23,1.0,81,87,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,17.01418371633128
204,22,2.0,81,88,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.88356353960952
205,23,1.0,81,86,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16.648723960844016
206,24,3.0,81,88,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.01418371633128
207,24,3.0,81,85,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,16.759949589762293
208,25,2.0,81,85,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,16.785925074816024
209,25,1.0,81,84,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,16.929025911619092
210,31,3.0,81,81,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,16.588099342704055
211,25,2.0,81,83,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,16.906553056777135
212,25,2.0,81,84,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,16.733281344102608
